Muslims BUSTED: They Stole Millions In Gov’t Benefits,hoax
Re: Why Did Attorney General Loretta Lynch Plead The Fifth?,hoax
BREAKING: Weiner Cooperating With FBI On Hillary Email Investigation,hoax
PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS:  I have voted for Donald J. Trump     100percentfedUp.com,hoax
FANTASTIC  TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell    100percentfedUp.com,hoax
Hillary Goes Absolutely Berserk On Protester At Rally    Video  ,hoax
BREAKING  NYPD Ready To Make Arrests In Weiner Case…Hillary Visited Pedophile Island At Least 6 Times…Money Laundering  Underage Sex  Pay-for-Play Proof of Inappropriate Handling Classified Information   100percentfedUp.com,hoax
WOW  WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District   VIDEO     100percentfedUp.com,hoax
BREAKING: CLINTON CLEARED...Was This A Coordinated Last Minute Trick To Energize Hillary's Base?   100percentfedUp.com,hoax
EVIL HILLARY SUPPORTERS Yell  F*ck Trump …Burn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers   VIDEO     100percentfedUp.com,hoax
YIKES  HILLARY GOES OFF THE RAILS…Pulls A Howard Dean   Video  ,hoax
SAY GOODBYE  These 23 Hollywood Celebs Threatened To Leave The U.S....Let's Hold Them To It    100percentfedUp.com,hoax
NOT KIDDING: Colleges Give Students  Safe Spaces  To Cry Over Trump Win…Threaten Students Over Pro-Trump  Chalkings ,hoax
BOOM  MATH SHOWS Trump Would Have Beaten Obama In Romney-Obama Election   100percentfedUp.com,hoax
BOOM  This Is How President Reagan Handled Protesters:  Negotiate? What is there to negotiate?    Video     100percentfedUp.com,hoax
TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering Anti-Trump Rioters   Video  ,hoax
TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won   VIDEO     100percentfedUp.com,hoax
#BoycottComedian…ROBERT DENIRO Wanted  To Punch Trump In The Face …Supports Anti-Trump Rioters…Now Wants Americans To Support His New Movie   VIDEO  ,hoax
HE’S NEVER SOLD AN ORIGINAL PAINTING UNTIL NOW…And This One’s Going In The White House,hoax
SORRY LIBERALS…You Can Stop With The Petitions…Hillary Did NOT Win The Popular Vote,hoax
MARK CUBAN:  In The Event Donald Wins  I Have No Doubt The Market Tanks …So Here's What Really Happened   VIDEO     100percentfedUp.com,hoax
TRUMP SUPPORTER Whose Brutal Beating By Black Mob Was Caught On Video Asks:  What Happened To America?    VIDEO  ,hoax
WOW  WHITE Liberals Suggest Blacks Are Too Stupid To Get ID’s…Can’t Figure Out How To Use Internet   VIDEO  ,hoax
LOL  BRITISH WIFE Of LIB ACTOR Who Said:  There Will Never Be A President Donald Trump …Warns Americans About President-Elect Trump   VIDEO  ,hoax
EPIC  TUCKER CARLSON Demolishes NYC Councilman Over Sanctuary Cities   Video  ,hoax
FUNNY  SNL’S SOLUTION To Democrat Election Denial:  Safe Space For Everyone    Video  ,hoax
DONALD TRUMP Calls Meeting With Press…Dresses Down Real Fake News Networks:  Everyone at CNN is a liar and you should be ashamed ,hoax
OOPS  CRYBABY HAMILTON STARS Who Lectured Pence Haven't Voted In Years   VIDEO     100percentfedUp.com,hoax
WHITE TRUMP-BASHING LIB Reprimanded On LIVE CNN Interview For Using  N-Word    VIDEO  ,hoax
BOOM  Kellyanne Conway Shuts Down CNN’s Cuomo,hoax
SHARIA IN AMERICA? How Minneapolis Muslims Are Still Being Recruited By Terrorists,hoax
SHERIFF CLARKE On Obama’s Final Days:  Obama’s Like A Tenant Who’s Been Evicted From A Property  And He’s Gonna Trash The Place On The Way Out The Door    VIDEO  ,hoax
ANTI-TRUMP CROWD CHANTS:  What’s Better Than 11 Dead Cops  12 Dead Cops  …Three Police Officers Ambushed The Same Weekend   Video  ,hoax
‘Intl Community Still Financing  Protecting Terrorists’ – Mother Agnes  Vanessa Beeley on Syria,hoax
FBI Director Comey’s ‘Leaked’ Memo Explains Why He’s Reopening the Clinton Email Case,hoax
FBI REDUX: What’s Behind New Probe into Hillary Clinton Emails?,hoax
PARTY CORRUPTION: Clinton Campaign Directly Tied to Disgraced DNC Consultant,hoax
Hillary’s ‘Russian Hack’ Hoax: The Biggest Lie of This Election Season,hoax
PARTNERS IN CRIME: Goldman Sachs  The Clintons & Wall Street,hoax
WikiLeaks: Hillary Clinton knew Saudi  Qatar were funding ISIS – but still took their money for Foundation,hoax
Hillary Clinton Jumps the Shark with ‘Trump’s Secret Russian Server’ Conspiracy Theory,hoax
Prof Michel Chossudovsky discusses Hillary Clinton’s foreign policy & emerging nuclear risks,hoax
Episode #159 – SUNDAY WIRE: ‘Tick-Tock USA’ with guests Dr Marcus Papadopoulos  Basil Valentine,hoax
KREMLIN: Putin Congratulates Trump  Hopes to Work Together Major Issues,hoax
America’s Primal Scream: David Icke Explains Reason for Trump’s Election Result,hoax
Mexico’s Richest Oligarch Loses Billions on News of Trump Victory,hoax
‘Beyonce  Jay Z  Hillary Clinton – You Don’t Represent All Blacks  Women’,hoax
  VIDEO   Female College Students Protesting Because ‘Trump is a Rapist’,hoax
‘COLOR REV’ AGIT PROP: George Soros MoveOn Agitators March on America – as Billionaire Instigator Sued,hoax
Henningsen: ‘US Anti-Trump Protests Similar to Soros Color Revolutions Abroad’,hoax
It s time to decriminalize drugs  commission report says   Global Commission on Drug Policy’s annual report recommended that countries should end civil and criminal penalties for drug use and possession ,Fact
New Zealand hit by 6 3 magnitude earthquake in North Island  USGS,Fact
Turkey s PM withdraws bill that would pardon men who sexually abuse underage girls if they marry the victims,Fact
Jean Claude Juncker mounts fresh call for European army claiming  Americans won t protect us forever ,Fact
India All Set to Launch a  2 Billion Renewable Energy Equity Fund,Fact
Ukraine detains two Russian soldiers near Crimean border,Fact
Rice farming in India much older than thought  used as  summer crop  by Indus civilisation,Fact
Lockheed Martin Lands Massive  1 2 Billion Contract to Turn South Korea s F 16s into  Vipers ,Fact
Britain tells Trump    There is no vacancy  for Farage as ambassador to United States,Fact
Japan earthquake  7 4 magnitude quake prompts tsunami warning â€“ live updates,Fact
British PM signals £2bn a year science funding increase,Fact
Vancouver mayor on housing crisis   I never dreamed it would get this intense ,Fact
Turkish President Erdogan   I can t say if Israel or Hitler is more barbarous ,Fact
Death toll in India train derailment hits 146,Fact
Eagles destroy nine WA mining drones and cost company more than  100 000    After the attacks on his equipment began  Mr Steven attempted to camouflage the drones as baby eagles  but the technique only temporarily diverted the eagles  ,Fact
Turkey to drop child sex assault bill after protests,Fact
British Navy fire warning shots at Spanish Navy in Gibraltar,Fact
World s First Head Transplant Will Use Virtual Reality To Prepare Patients       it will create an immersive experience to simulate the sensation of walking and the voluntary use of motor functions  as well as prepare the patient for the distress of seeing themself on someone else s body ,Fact
 Extraordinarily hot  Arctic temperatures alarm scientists,Fact
56 car pileup in China leaves 17 dead,Fact
Russian military deploys powerful new missiles to Baltic region,Fact
Japan PM says TPP trade pact meaningless without U S ,Fact
President Duterte said he would adopt a foreign policy that veers toward a China led regional development,Fact
The prosecution s interim investigation results  unveiled Sunday  show President Park Geun hye has consistently lied about the corruption scandal involving her and her longtime friend Choi Soon sil ,Fact
France s Le Pen  Donald Trump victory shows power is slipping from the hands of  the elites ,Fact
Turkey dismisses close to 15 000 more in post coup probe  official decree,Fact
Brexit vote wiped  1 5tn off UK household wealth in 2016  report says,Fact
Britain tells Trump   There is no vacancy  for Farage as ambassador to United States,Fact
ISIS behead elderly cleric for  practising witchcraft  in Egypt s Sinai Peninsula,Fact
TPP deal would be  meaningless  without U S   Japan PM says,Fact
US issues travel alert for Europe after France thwarts ISIS linked plot,Fact
EU Parliament won t accept Brexit deal threatening four EU freedoms,Fact
African states fail to block United Nations  LGBT rights protector | World news,Fact
Over 30 die in IS attack on Kabul’s Shia mosque,Fact
Brexit is likely to end up before EU s highest court  says Europe s top judge,Fact
Duterte declares ban on fishing in disputed South China Sea shoal,Fact
US leaving TPP  A great news day for China,Fact
Polish Bishops and President Duda Declare Christ King of Poland,Fact
Japan lifts tsunami advisories issued after 7 4 earthquake,Fact
China woos Asian nations to join Beijing led trade pact as Trans Pacific Partnership falters,Fact
ISIS Used Chemical Arms at Least 52 Times in Syria and Iraq  Report Says,Fact
Mosque Attacks Signal Expanding IS Presence in AF Pak Region,Fact
Mexico s central bank head  Hope Trump won t be a  hurricane ,Fact
China woos Asian nations to join Beijing led trade pact as Trans Pacific Partnership falters,Fact
Turkey’s ruling party withdraws ‘rape law’,Fact
 Sharia police  are not illegal  rules German court,Fact
US and China conduct rare military drill,Fact
Brexit  Theresa May risks Tory row after suggesting UK may still be tied to EU after 2019,Fact
Bulldozers to raze Palestinian village in Israel,Fact
Japanese troops land in South Sudan  fears of first foreign fighting since WW2,Fact
Panama needs new anti corruption laws to combat tax dodgers  panel,Fact
